Region,County,First Dose,Series Complete,Report as of
Mohawk Valley,Montgomery,29424,27281,8/30/21
Long Island,Nassau,997399,907059,8/30/21
New York City,New York,1219843,1105035,8/30/21
Western New York,Niagara,123093,114990,8/30/21
Mohawk Valley,Oneida,127436,117764,8/30/21
Central New York,Onondaga,304876,283115,8/30/21
Finger Lakes,Ontario,70826,66834,8/30/21
Mid-Hudson,Orange,206826,185538,8/30/21
Finger Lakes,Orleans,19753,18405,8/30/21
Central New York,Oswego,66004,61680,8/30/21
Mohawk Valley,Otsego,34145,31931,8/30/21
Mid-Hudson,Putnam,67660,60771,8/30/21
New York City,Queens,1659654,1491006,8/30/21
Capital Region,Rensselaer,99424,92408,8/30/21
New York City,Richmond,289717,259494,8/30/21
Mid-Hudson,Rockland,185156,165514,8/30/21
Capital Region,Saratoga,158780,149036,8/30/21
Capital Region,Schenectady,112616,104114,8/30/21
Mohawk Valley,Schoharie,16422,15368,8/30/21
Southern Tier,Schuyler,9483,8869,8/30/21
Finger Lakes,Seneca,16485,15419,8/30/21
North Country,St. Lawrence,59097,54786,8/30/21
Southern Tier,Steuben,44881,42267,8/30/21
Long Island,Suffolk,990764,892239,8/30/21
Mid-Hudson,Sullivan,40377,36405,8/30/21
Southern Tier,Tioga,21855,20544,8/30/21
Southern Tier,Tompkins,71329,67188,8/30/21
Mid-Hudson,Ulster,122533,111472,8/30/21
Capital Region,Warren,44660,42083,8/30/21
Capital Region,Washington,35256,33290,8/30/21
Finger Lakes,Wayne,53493,50214,8/30/21
Mid-Hudson,Westchester,687662,623158,8/30/21
Finger Lakes,Wyoming,19145,17844,8/30/21
Finger Lakes,Yates,12149,11330,8/30/21
Capital Region,Albany,206172,190204,8/29/21
Western New York,Allegany,18359,17201,8/29/21
New York City,Bronx,812110,702582,8/29/21
Southern Tier,Broome,112857,105733,8/29/21
Western New York,Cattaraugus,35407,32698,8/29/21
Central New York,Cayuga,41802,38760,8/29/21
Western New York,Chautauqua,65666,60298,8/29/21
Southern Tier,Chemung,40241,37673,8/29/21
Southern Tier,Chenango,26378,24672,8/29/21
North Country,Clinton,50136,47407,8/29/21
Capital Region,Columbia,38312,35212,8/29/21
Central New York,Cortland,24980,23298,8/29/21
Southern Tier,Delaware,22500,20817,8/29/21
Mid-Hudson,Dutchess,186559,166830,8/29/21
Western New York,Erie,578573,538135,8/29/21
North Country,Essex,23507,22240,8/29/21
North Country,Franklin,26169,24435,8/29/21
Mohawk Valley,Fulton,25137,23281,8/29/21
Finger Lakes,Genesee,31009,28771,8/29/21
Capital Region,Greene,26716,24180,8/29/21
North Country,Hamilton,3187,2975,8/29/21
Mohawk Valley,Herkimer,31032,28695,8/29/21
North Country,Jefferson,60785,50091,8/29/21
New York City,Kings,1472400,1317788,8/29/21
North Country,Lewis,11955,11237,8/29/21
Finger Lakes,Livingston,33953,32056,8/29/21
Central New York,Madison,46104,43003,8/29/21
Finger Lakes,Monroe,476712,448498,8/29/21
Mohawk Valley,Montgomery,29362,27237,8/29/21
Long Island,Nassau,995218,905223,8/29/21
New York City,New York,1217425,1103074,8/29/21
Western New York,Niagara,122845,114828,8/29/21
Mohawk Valley,Oneida,127281,117644,8/29/21
Central New York,Onondaga,304444,282781,8/29/21
Finger Lakes,Ontario,70706,66740,8/29/21
Mid-Hudson,Orange,206449,185220,8/29/21
Finger Lakes,Orleans,19734,18393,8/29/21
Central New York,Oswego,65896,61600,8/29/21
Mohawk Valley,Otsego,34111,31896,8/29/21
Mid-Hudson,Putnam,67514,60663,8/29/21
New York City,Queens,1655268,1486149,8/29/21
Capital Region,Rensselaer,99247,92238,8/29/21
New York City,Richmond,288869,258685,8/29/21
Mid-Hudson,Rockland,184730,165206,8/29/21
Capital Region,Saratoga,158524,148840,8/29/21
Capital Region,Schenectady,112399,103908,8/29/21
Mohawk Valley,Schoharie,16375,15353,8/29/21
Southern Tier,Schuyler,9459,8863,8/29/21
Finger Lakes,Seneca,16450,15392,8/29/21
North Country,St. Lawrence,58991,54721,8/29/21
Southern Tier,Steuben,44815,42219,8/29/21
Long Island,Suffolk,988539,890451,8/29/21
Mid-Hudson,Sullivan,40296,36350,8/29/21
Southern Tier,Tioga,21835,20520,8/29/21
Southern Tier,Tompkins,71239,67145,8/29/21
Mid-Hudson,Ulster,122304,111316,8/29/21
Capital Region,Warren,44598,42019,8/29/21
Capital Region,Washington,35212,33247,8/29/21
Finger Lakes,Wayne,53408,50154,8/29/21
Mid-Hudson,Westchester,686077,621879,8/29/21
Finger Lakes,Wyoming,19121,17825,8/29/21
Finger Lakes,Yates,12143,11326,8/29/21
Capital Region,Albany,205969,190069,8/28/21
Western New York,Allegany,18343,17192,8/28/21
New York City,Bronx,811136,701665,8/28/21
Southern Tier,Broome,112749,105652,8/28/21
Western New York,Cattaraugus,35375,32683,8/28/21
Central New York,Cayuga,41754,38723,8/28/21
Western New York,Chautauqua,65592,60253,8/28/21
Southern Tier,Chemung,40217,37646,8/28/21
Southern Tier,Chenango,26365,24661,8/28/21
North Country,Clinton,50103,47394,8/28/21
Capital Region,Columbia,38277,35182,8/28/21
Central New York,Cortland,24943,23280,8/28/21
Southern Tier,Delaware,22482,20796,8/28/21
Mid-Hudson,Dutchess,186297,166674,8/28/21
Western New York,Erie,577975,537780,8/28/21
North Country,Essex,23495,22235,8/28/21
North Country,Franklin,26157,24425,8/28/21
Mohawk Valley,Fulton,25105,23253,8/28/21
Finger Lakes,Genesee,30976,28750,8/28/21
Capital Region,Greene,26701,24161,8/28/21
North Country,Hamilton,3187,2975,8/28/21
Mohawk Valley,Herkimer,31006,28672,8/28/21
North Country,Jefferson,60728,50048,8/28/21
New York City,Kings,1470411,1315455,8/28/21
North Country,Lewis,11950,11226,8/28/21
Finger Lakes,Livingston,33914,32022,8/28/21
Central New York,Madison,46069,42973,8/28/21
Finger Lakes,Monroe,476237,448143,8/28/21
Mohawk Valley,Montgomery,29330,27218,8/28/21
Long Island,Nassau,993731,903969,8/28/21
New York City,New York,1216303,1102134,8/28/21
Western New York,Niagara,122722,114738,8/28/21
Mohawk Valley,Oneida,127149,117576,8/28/21
Central New York,Onondaga,304148,282556,8/28/21
Finger Lakes,Ontario,70653,66696,8/28/21
Mid-Hudson,Orange,206144,184964,8/28/21
Finger Lakes,Orleans,19713,18380,8/28/21
Central New York,Oswego,65828,61552,8/28/21
Mohawk Valley,Otsego,34097,31878,8/28/21
Mid-Hudson,Putnam,67459,60601,8/28/21
New York City,Queens,1652869,1483136,8/28/21
Capital Region,Rensselaer,99141,92161,8/28/21
New York City,Richmond,288172,258145,8/28/21
Mid-Hudson,Rockland,184470,164981,8/28/21
Capital Region,Saratoga,158406,148731,8/28/21
Capital Region,Schenectady,112304,103803,8/28/21
Mohawk Valley,Schoharie,16364,15338,8/28/21
Southern Tier,Schuyler,9455,8860,8/28/21
Finger Lakes,Seneca,16446,15389,8/28/21
North Country,St. Lawrence,58921,54689,8/28/21
Southern Tier,Steuben,44784,42190,8/28/21
Long Island,Suffolk,987040,889103,8/28/21
Mid-Hudson,Sullivan,40249,36320,8/28/21
Southern Tier,Tioga,21819,20506,8/28/21
Southern Tier,Tompkins,71197,67111,8/28/21
Mid-Hudson,Ulster,122145,111215,8/28/21
Capital Region,Warren,44566,42002,8/28/21
Capital Region,Washington,35170,33204,8/28/21
Finger Lakes,Wayne,53347,50102,8/28/21
Mid-Hudson,Westchester,685245,621233,8/28/21
Finger Lakes,Wyoming,19103,17814,8/28/21
Finger Lakes,Yates,12132,11320,8/28/21
Capital Region,Albany,205703,189874,8/27/21
Western New York,Allegany,18310,17165,8/27/21
New York City,Bronx,809093,699585,8/27/21
Southern Tier,Broome,112582,105501,8/27/21
Western New York,Cattaraugus,35252,32604,8/27/21
Central New York,Cayuga,41672,38666,8/27/21
Western New York,Chautauqua,65467,60176,8/27/21
Southern Tier,Chemung,40139,37608,8/27/21
Southern Tier,Chenango,26327,24627,8/27/21
North Country,Clinton,50039,47357,8/27/21
Capital Region,Columbia,38210,35146,8/27/21
Central New York,Cortland,24900,23255,8/27/21
Southern Tier,Delaware,22443,20758,8/27/21
Mid-Hudson,Dutchess,185967,166414,8/27/21
Western New York,Erie,576960,537040,8/27/21
North Country,Essex,23479,22218,8/27/21
North Country,Franklin,26128,24404,8/27/21
Mohawk Valley,Fulton,25066,23224,8/27/21
Finger Lakes,Genesee,30932,28702,8/27/21
Capital Region,Greene,26668,24128,8/27/21
North Country,Hamilton,3186,2974,8/27/21
Mohawk Valley,Herkimer,30974,28632,8/27/21
North Country,Jefferson,60645,49978,8/27/21
New York City,Kings,1467067,1311880,8/27/21
North Country,Lewis,11933,11213,8/27/21
Finger Lakes,Livingston,33868,31981,8/27/21
Central New York,Madison,46003,42921,8/27/21
Finger Lakes,Monroe,475500,447573,8/27/21
Mohawk Valley,Montgomery,29263,27176,8/27/21
Long Island,Nassau,991310,902152,8/27/21
New York City,New York,1214603,1100625,8/27/21
Western New York,Niagara,122541,114593,8/27/21
Mohawk Valley,Oneida,126956,117438,8/27/21
Central New York,Onondaga,303651,282117,8/27/21
Finger Lakes,Ontario,70572,66640,8/27/21
Mid-Hudson,Orange,205689,184580,8/27/21
Finger Lakes,Orleans,19672,18358,8/27/21
Central New York,Oswego,65726,61475,8/27/21
Mohawk Valley,Otsego,34053,31844,8/27/21
Mid-Hudson,Putnam,67318,60495,8/27/21
New York City,Queens,1649251,1478745,8/27/21
Capital Region,Rensselaer,99003,92043,8/27/21
New York City,Richmond,287439,257250,8/27/21
Mid-Hudson,Rockland,184140,164707,8/27/21
Capital Region,Saratoga,158235,148602,8/27/21
Capital Region,Schenectady,112142,103670,8/27/21
Mohawk Valley,Schoharie,16341,15321,8/27/21
Southern Tier,Schuyler,9440,8852,8/27/21
Finger Lakes,Seneca,16428,15367,8/27/21
North Country,St. Lawrence,58818,54648,8/27/21
Southern Tier,Steuben,44721,42153,8/27/21
Long Island,Suffolk,984734,887075,8/27/21
Mid-Hudson,Sullivan,40190,36292,8/27/21
Southern Tier,Tioga,21781,20471,8/27/21
Southern Tier,Tompkins,71118,67062,8/27/21
Mid-Hudson,Ulster,121956,111062,8/27/21
Capital Region,Warren,44510,41961,8/27/21
Capital Region,Washington,35141,33177,8/27/21
Finger Lakes,Wayne,53263,50024,8/27/21
Mid-Hudson,Westchester,683853,620157,8/27/21
Finger Lakes,Wyoming,19073,17788,8/27/21
Finger Lakes,Yates,12126,11318,8/27/21
Capital Region,Albany,205380,189581,8/26/21
Western New York,Allegany,18272,17139,8/26/21
New York City,Bronx,805863,696718,8/26/21
Southern Tier,Broome,112401,105356,8/26/21
Western New York,Cattaraugus,35193,32573,8/26/21
Central New York,Cayuga,41552,38564,8/26/21
Western New York,Chautauqua,65329,60111,8/26/21
Southern Tier,Chemung,40077,37552,8/26/21
Southern Tier,Chenango,26258,24581,8/26/21
North Country,Clinton,49953,47324,8/26/21
Capital Region,Columbia,38126,35087,8/26/21
Central New York,Cortland,24851,23218,8/26/21
Southern Tier,Delaware,22393,20722,8/26/21
Mid-Hudson,Dutchess,185503,166108,8/26/21
Western New York,Erie,575961,536197,8/26/21
North Country,Essex,23438,22187,8/26/21
North Country,Franklin,26090,24384,8/26/21
Mohawk Valley,Fulton,25014,23193,8/26/21
Finger Lakes,Genesee,30869,28658,8/26/21
Capital Region,Greene,26595,24087,8/26/21
North Country,Hamilton,3181,2974,8/26/21
Mohawk Valley,Herkimer,30876,28551,8/26/21
North Country,Jefferson,60501,49882,8/26/21
New York City,Kings,1463182,1307739,8/26/21
North Country,Lewis,11884,11180,8/26/21
Finger Lakes,Livingston,33793,31921,8/26/21
Central New York,Madison,45936,42871,8/26/21
Finger Lakes,Monroe,474710,446901,8/26/21
Mohawk Valley,Montgomery,29179,27119,8/26/21
Long Island,Nassau,988861,900213,8/26/21
New York City,New York,1212221,1098641,8/26/21
Western New York,Niagara,122322,114445,8/26/21
Mohawk Valley,Oneida,126710,117174,8/26/21
Central New York,Onondaga,303102,281725,8/26/21
Finger Lakes,Ontario,70455,66566,8/26/21
Mid-Hudson,Orange,204936,184110,8/26/21
Finger Lakes,Orleans,19508,18282,8/26/21
Central New York,Oswego,65621,61376,8/26/21
Mohawk Valley,Otsego,33998,31799,8/26/21
Mid-Hudson,Putnam,67167,60392,8/26/21
New York City,Queens,1645086,1474237,8/26/21
Capital Region,Rensselaer,98842,91918,8/26/21
New York City,Richmond,286651,256404,8/26/21
Mid-Hudson,Rockland,183466,164159,8/26/21
Capital Region,Saratoga,158006,148407,8/26/21
Capital Region,Schenectady,111912,103491,8/26/21
Mohawk Valley,Schoharie,16311,15288,8/26/21
Southern Tier,Schuyler,9415,8828,8/26/21
Finger Lakes,Seneca,16395,15346,8/26/21
North Country,St. Lawrence,58700,54582,8/26/21
Southern Tier,Steuben,44588,42056,8/26/21
Long Island,Suffolk,981584,884693,8/26/21
Mid-Hudson,Sullivan,40058,36179,8/26/21
Southern Tier,Tioga,21737,20435,8/26/21
Southern Tier,Tompkins,71010,66998,8/26/21
Mid-Hudson,Ulster,121603,110798,8/26/21
Capital Region,Warren,44423,41917,8/26/21
Capital Region,Washington,35071,33117,8/26/21
Finger Lakes,Wayne,53159,49964,8/26/21
Mid-Hudson,Westchester,682033,618978,8/26/21
Finger Lakes,Wyoming,19044,17765,8/26/21
Finger Lakes,Yates,12092,11295,8/26/21
Capital Region,Albany,204994,189261,8/25/21
Western New York,Allegany,18237,17116,8/25/21
New York City,Bronx,802269,693830,8/25/21
Southern Tier,Broome,112179,105214,8/25/21
Western New York,Cattaraugus,35121,32539,8/25/21
Central New York,Cayuga,41464,38508,8/25/21
Western New York,Chautauqua,65211,60029,8/25/21
Southern Tier,Chemung,39965,37499,8/25/21
Southern Tier,Chenango,26220,24557,8/25/21
North Country,Clinton,49843,47271,8/25/21
Capital Region,Columbia,38050,35037,8/25/21
Central New York,Cortland,24794,23193,8/25/21
Southern Tier,Delaware,22360,20699,8/25/21
Mid-Hudson,Dutchess,184929,165684,8/25/21
Western New York,Erie,574912,535561,8/25/21
North Country,Essex,23410,22174,8/25/21
North Country,Franklin,26052,24358,8/25/21
Mohawk Valley,Fulton,24969,23174,8/25/21
Finger Lakes,Genesee,30812,28631,8/25/21
Capital Region,Greene,26545,24053,8/25/21
North Country,Hamilton,3177,2970,8/25/21
Mohawk Valley,Herkimer,30812,28500,8/25/21
North Country,Jefferson,60362,49817,8/25/21
New York City,Kings,1458461,1303124,8/25/21
North Country,Lewis,11838,11151,8/25/21
Finger Lakes,Livingston,33727,31885,8/25/21
Central New York,Madison,45844,42828,8/25/21
Finger Lakes,Monroe,473858,446247,8/25/21
Mohawk Valley,Montgomery,29112,27081,8/25/21
Long Island,Nassau,986057,898102,8/25/21
New York City,New York,1209804,1096711,8/25/21
Western New York,Niagara,122089,114276,8/25/21
Mohawk Valley,Oneida,126470,117024,8/25/21
Central New York,Onondaga,302511,281321,8/25/21
Finger Lakes,Ontario,70344,66476,8/25/21
Mid-Hudson,Orange,204479,183721,8/25/21
Finger Lakes,Orleans,19476,18250,8/25/21
Central New York,Oswego,65490,61288,8/25/21
Mohawk Valley,Otsego,33931,31767,8/25/21
Mid-Hudson,Putnam,67012,60278,8/25/21
New York City,Queens,1640552,1469756,8/25/21
Capital Region,Rensselaer,98670,91793,8/25/21
New York City,Richmond,285693,255351,8/25/21
Mid-Hudson,Rockland,183000,163802,8/25/21
Capital Region,Saratoga,157821,148250,8/25/21
Capital Region,Schenectady,111709,103325,8/25/21
Mohawk Valley,Schoharie,16281,15259,8/25/21
Southern Tier,Schuyler,9402,8817,8/25/21
Finger Lakes,Seneca,16357,15324,8/25/21
North Country,St. Lawrence,58569,54502,8/25/21
Southern Tier,Steuben,44514,42004,8/25/21
Long Island,Suffolk,979076,882721,8/25/21
Mid-Hudson,Sullivan,39947,36112,8/25/21
Southern Tier,Tioga,21688,20413,8/25/21
Southern Tier,Tompkins,70873,66954,8/25/21
Mid-Hudson,Ulster,121022,110365,8/25/21
Capital Region,Warren,44369,41872,8/25/21
Capital Region,Washington,35028,33083,8/25/21
Finger Lakes,Wayne,53069,49872,8/25/21
Mid-Hudson,Westchester,680027,617706,8/25/21
Finger Lakes,Wyoming,19009,17754,8/25/21
Finger Lakes,Yates,12071,11279,8/25/21
Capital Region,Albany,204611,189033,8/24/21
Western New York,Allegany,18206,17099,8/24/21
New York City,Bronx,798832,691143,8/24/21
Southern Tier,Broome,111990,105074,8/24/21
Western New York,Cattaraugus,35057,32482,8/24/21
Central New York,Cayuga,41344,38448,8/24/21
Western New York,Chautauqua,65029,59914,8/24/21
Southern Tier,Chemung,39874,37456,8/24/21
Southern Tier,Chenango,26152,24503,8/24/21
North Country,Clinton,49776,47206,8/24/21
Capital Region,Columbia,37965,34963,8/24/21
Central New York,Cortland,24743,23165,8/24/21
Southern Tier,Delaware,22318,20645,8/24/21
Mid-Hudson,Dutchess,184378,165307,8/24/21
Western New York,Erie,573882,534770,8/24/21
North Country,Essex,23368,22156,8/24/21
North Country,Franklin,26007,24335,8/24/21
Mohawk Valley,Fulton,24910,23153,8/24/21
Finger Lakes,Genesee,30757,28581,8/24/21
Capital Region,Greene,26499,24015,8/24/21
North Country,Hamilton,3176,2967,8/24/21
Mohawk Valley,Herkimer,30770,28466,8/24/21
North Country,Jefferson,60251,49713,8/24/21
New York City,Kings,1454223,1299277,8/24/21
North Country,Lewis,11821,11142,8/24/21
Finger Lakes,Livingston,33660,31834,8/24/21
Central New York,Madison,45754,42734,8/24/21
Finger Lakes,Monroe,472931,445556,8/24/21
Mohawk Valley,Montgomery,29035,27017,8/24/21
Long Island,Nassau,983549,896300,8/24/21
New York City,New York,1207391,1094948,8/24/21
Western New York,Niagara,121846,114062,8/24/21
Mohawk Valley,Oneida,126255,116822,8/24/21
Central New York,Onondaga,301992,280931,8/24/21
Finger Lakes,Ontario,70211,66352,8/24/21
Mid-Hudson,Orange,203925,183344,8/24/21
Finger Lakes,Orleans,19441,18226,8/24/21
Central New York,Oswego,65360,61169,8/24/21
Mohawk Valley,Otsego,33864,31715,8/24/21
Mid-Hudson,Putnam,66870,60160,8/24/21
New York City,Queens,1636121,1465688,8/24/21
Capital Region,Rensselaer,98433,91641,8/24/21
New York City,Richmond,284834,254572,8/24/21
Mid-Hudson,Rockland,182544,163467,8/24/21
Capital Region,Saratoga,157527,147989,8/24/21
Capital Region,Schenectady,111507,103201,8/24/21
Mohawk Valley,Schoharie,16250,15219,8/24/21
Southern Tier,Schuyler,9377,8808,8/24/21
Finger Lakes,Seneca,16343,15313,8/24/21
North Country,St. Lawrence,58405,54427,8/24/21
Southern Tier,Steuben,44411,41923,8/24/21
Long Island,Suffolk,976485,880701,8/24/21
Mid-Hudson,Sullivan,39823,36025,8/24/21
Southern Tier,Tioga,21636,20380,8/24/21
Southern Tier,Tompkins,70756,66905,8/24/21
Mid-Hudson,Ulster,120790,110215,8/24/21
Capital Region,Warren,44316,41823,8/24/21
Capital Region,Washington,34974,33027,8/24/21
Finger Lakes,Wayne,52959,49782,8/24/21
Mid-Hudson,Westchester,678150,616385,8/24/21
Finger Lakes,Wyoming,18974,17726,8/24/21
Finger Lakes,Yates,12040,11262,8/24/21
Capital Region,Albany,204257,188767,8/23/21
Western New York,Allegany,18177,17057,8/23/21
New York City,Bronx,794365,688181,8/23/21
Southern Tier,Broome,111786,104905,8/23/21
Western New York,Cattaraugus,34966,32436,8/23/21
Central New York,Cayuga,41260,38385,8/23/21
Western New York,Chautauqua,64874,59813,8/23/21
Southern Tier,Chemung,39796,37386,8/23/21
Southern Tier,Chenango,26113,24470,8/23/21
North Country,Clinton,49707,47156,8/23/21
Capital Region,Columbia,37865,34904,8/23/21
Central New York,Cortland,24693,23135,8/23/21
Southern Tier,Delaware,22277,20606,8/23/21
Mid-Hudson,Dutchess,183872,164979,8/23/21
Western New York,Erie,572861,533898,8/23/21
North Country,Essex,23335,22134,8/23/21
North Country,Franklin,25939,24301,8/23/21
Mohawk Valley,Fulton,24870,23110,8/23/21
Finger Lakes,Genesee,30698,28548,8/23/21
Capital Region,Greene,26464,23979,8/23/21
North Country,Hamilton,3166,2961,8/23/21
Mohawk Valley,Herkimer,30726,28428,8/23/21
North Country,Jefferson,60145,49644,8/23/21
New York City,Kings,1449778,1295623,8/23/21
North Country,Lewis,11807,11128,8/23/21
Finger Lakes,Livingston,33612,31785,8/23/21
Central New York,Madison,45695,42665,8/23/21
Finger Lakes,Monroe,472093,444867,8/23/21
Mohawk Valley,Montgomery,28985,26981,8/23/21
Long Island,Nassau,980760,894350,8/23/21
New York City,New York,1204787,1093000,8/23/21
Western New York,Niagara,121636,113892,8/23/21
Mohawk Valley,Oneida,125992,116549,8/23/21
Central New York,Onondaga,301461,280498,8/23/21
Finger Lakes,Ontario,70136,66265,8/23/21
Mid-Hudson,Orange,203395,182997,8/23/21
Finger Lakes,Orleans,19406,18197,8/23/21
Central New York,Oswego,65249,61089,8/23/21
Mohawk Valley,Otsego,33830,31672,8/23/21
Mid-Hudson,Putnam,66711,60043,8/23/21
New York City,Queens,1631082,1461342,8/23/21
Capital Region,Rensselaer,98244,91500,8/23/21
New York City,Richmond,283808,253793,8/23/21
Mid-Hudson,Rockland,182068,163039,8/23/21
Capital Region,Saratoga,157295,147790,8/23/21
Capital Region,Schenectady,111290,103030,8/23/21
Mohawk Valley,Schoharie,16224,15200,8/23/21
Southern Tier,Schuyler,9355,8795,8/23/21
Finger Lakes,Seneca,16324,15294,8/23/21
North Country,St. Lawrence,58276,54348,8/23/21
Southern Tier,Steuben,44285,41843,8/23/21
Long Island,Suffolk,973777,878508,8/23/21
Mid-Hudson,Sullivan,39762,35994,8/23/21
Southern Tier,Tioga,21596,20358,8/23/21
Southern Tier,Tompkins,70666,66843,8/23/21
Mid-Hudson,Ulster,120536,110042,8/23/21
Capital Region,Warren,44231,41780,8/23/21
Capital Region,Washington,34912,32985,8/23/21
Finger Lakes,Wayne,52854,49693,8/23/21
Mid-Hudson,Westchester,676368,615154,8/23/21
Finger Lakes,Wyoming,18950,17704,8/23/21
Finger Lakes,Yates,12025,11255,8/23/21
Capital Region,Albany,204002,188601,8/22/21
Western New York,Allegany,18160,17051,8/22/21
New York City,Bronx,791005,685861,8/22/21
Southern Tier,Broome,111665,104798,8/22/21
Western New York,Cattaraugus,34936,32418,8/22/21
Central New York,Cayuga,41198,38345,8/22/21
Western New York,Chautauqua,64802,59765,8/22/21
Southern Tier,Chemung,39732,37325,8/22/21
Southern Tier,Chenango,26081,24447,8/22/21
North Country,Clinton,49669,47116,8/22/21
Capital Region,Columbia,37805,34853,8/22/21
Central New York,Cortland,24671,23115,8/22/21
Southern Tier,Delaware,22257,20592,8/22/21
Mid-Hudson,Dutchess,183516,164739,8/22/21
Western New York,Erie,572313,533455,8/22/21
North Country,Essex,23319,22118,8/22/21
North Country,Franklin,25902,24285,8/22/21
Mohawk Valley,Fulton,24843,23090,8/22/21
Finger Lakes,Genesee,30665,28528,8/22/21
Capital Region,Greene,26438,23939,8/22/21
North Country,Hamilton,3163,2961,8/22/21
Mohawk Valley,Herkimer,30696,28399,8/22/21
North Country,Jefferson,60062,49587,8/22/21
New York City,Kings,1446285,1292691,8/22/21
North Country,Lewis,11796,11115,8/22/21
Finger Lakes,Livingston,33562,31755,8/22/21
Central New York,Madison,45652,42614,8/22/21
Finger Lakes,Monroe,471416,444343,8/22/21
Mohawk Valley,Montgomery,28955,26953,8/22/21
Long Island,Nassau,978721,892799,8/22/21
New York City,New York,1203026,1091683,8/22/21
Western New York,Niagara,121521,113788,8/22/21
Mohawk Valley,Oneida,125863,116430,8/22/21
Central New York,Onondaga,301104,280189,8/22/21
Finger Lakes,Ontario,70074,66207,8/22/21
Mid-Hudson,Orange,203070,182735,8/22/21
Finger Lakes,Orleans,19387,18177,8/22/21
Central New York,Oswego,65170,61023,8/22/21
Mohawk Valley,Otsego,33804,31651,8/22/21
Mid-Hudson,Putnam,66503,59887,8/22/21
New York City,Queens,1626853,1457739,8/22/21
Capital Region,Rensselaer,98101,91383,8/22/21
New York City,Richmond,283019,253276,8/22/21
Mid-Hudson,Rockland,181619,162693,8/22/21
Capital Region,Saratoga,157138,147654,8/22/21
Capital Region,Schenectady,111110,102891,8/22/21
Mohawk Valley,Schoharie,16200,15179,8/22/21
Southern Tier,Schuyler,9337,8783,8/22/21
Finger Lakes,Seneca,16312,15283,8/22/21
North Country,St. Lawrence,58185,54274,8/22/21
Southern Tier,Steuben,44219,41785,8/22/21
Long Island,Suffolk,971976,876930,8/22/21
Mid-Hudson,Sullivan,39690,35951,8/22/21
Southern Tier,Tioga,21584,20331,8/22/21
Southern Tier,Tompkins,70600,66786,8/22/21
Mid-Hudson,Ulster,120380,109925,8/22/21
Capital Region,Warren,44170,41734,8/22/21
Capital Region,Washington,34859,32950,8/22/21
Finger Lakes,Wayne,52801,49644,8/22/21
Mid-Hudson,Westchester,674725,613949,8/22/21
Finger Lakes,Wyoming,18902,17673,8/22/21
Finger Lakes,Yates,12019,11247,8/22/21
Capital Region,Albany,203859,188489,8/21/21
Western New York,Allegany,18155,17041,8/21/21
New York City,Bronx,790514,685396,8/21/21
Southern Tier,Broome,111568,104731,8/21/21
Western New York,Cattaraugus,34914,32403,8/21/21
Central New York,Cayuga,41167,38322,8/21/21
Western New York,Chautauqua,64749,59703,8/21/21
Southern Tier,Chemung,39704,37299,8/21/21
Southern Tier,Chenango,26071,24436,8/21/21
North Country,Clinton,49644,47084,8/21/21
Capital Region,Columbia,37770,34832,8/21/21
Central New York,Cortland,24649,23101,8/21/21
Southern Tier,Delaware,22238,20587,8/21/21
Mid-Hudson,Dutchess,183288,164604,8/21/21
Western New York,Erie,571853,533078,8/21/21
North Country,Essex,23298,22095,8/21/21
North Country,Franklin,25892,24273,8/21/21
Mohawk Valley,Fulton,24807,23080,8/21/21
Finger Lakes,Genesee,30622,28514,8/21/21
Capital Region,Greene,26423,23921,8/21/21
North Country,Hamilton,3162,2960,8/21/21
Mohawk Valley,Herkimer,30676,28377,8/21/21
North Country,Jefferson,60036,49554,8/21/21
New York City,Kings,1445061,1291540,8/21/21
North Country,Lewis,11792,11110,8/21/21
Finger Lakes,Livingston,33539,31740,8/21/21
Central New York,Madison,45620,42583,8/21/21
Finger Lakes,Monroe,471000,444003,8/21/21
Mohawk Valley,Montgomery,28947,26936,8/21/21
Long Island,Nassau,977441,891930,8/21/21
New York City,New York,1202099,1091032,8/21/21
Western New York,Niagara,121404,113686,8/21/21
Mohawk Valley,Oneida,125756,116352,8/21/21
Central New York,Onondaga,300847,280030,8/21/21
Finger Lakes,Ontario,70029,66168,8/21/21
Mid-Hudson,Orange,202764,182514,8/21/21
Finger Lakes,Orleans,19376,18157,8/21/21
Central New York,Oswego,65114,60990,8/21/21
Mohawk Valley,Otsego,33790,31638,8/21/21
Mid-Hudson,Putnam,66457,59841,8/21/21
New York City,Queens,1625149,1455996,8/21/21
Capital Region,Rensselaer,98031,91316,8/21/21
New York City,Richmond,282701,252878,8/21/21
Mid-Hudson,Rockland,181403,162535,8/21/21
Capital Region,Saratoga,157027,147577,8/21/21
Capital Region,Schenectady,111006,102810,8/21/21
Mohawk Valley,Schoharie,16192,15165,8/21/21
Southern Tier,Schuyler,9333,8775,8/21/21
Finger Lakes,Seneca,16298,15268,8/21/21
North Country,St. Lawrence,58134,54239,8/21/21
Southern Tier,Steuben,44190,41762,8/21/21
Long Island,Suffolk,970585,875858,8/21/21
Mid-Hudson,Sullivan,39660,35926,8/21/21
Southern Tier,Tioga,21558,20317,8/21/21
Southern Tier,Tompkins,70536,66749,8/21/21
Mid-Hudson,Ulster,120249,109849,8/21/21
Capital Region,Warren,44136,41714,8/21/21
Capital Region,Washington,34837,32927,8/21/21
