Region,County,First Dose,Series Complete,Report as of
Capital Region,Warren,52446,49358,11/11/22
Capital Region,Washington,41923,39769,11/11/22
Finger Lakes,Wayne,65787,61899,11/11/22
Mid-Hudson,Westchester,884126,793675,11/11/22
Finger Lakes,Wyoming,23491,22207,11/11/22
Finger Lakes,Yates,14734,13725,11/11/22
Capital Region,Albany,254724,231706,11/10/22
Western New York,Allegany,23625,22061,11/10/22
New York City,Bronx,1225522,1088486,11/10/22
Southern Tier,Broome,135750,126463,11/10/22
Western New York,Cattaraugus,44134,40954,11/10/22
Central New York,Cayuga,49989,46699,11/10/22
Western New York,Chautauqua,82073,75551,11/10/22
Southern Tier,Chemung,49591,46603,11/10/22
Southern Tier,Chenango,31488,29655,11/10/22
North Country,Clinton,59416,55828,11/10/22
Capital Region,Columbia,46089,42085,11/10/22
Central New York,Cortland,29849,28144,11/10/22
Southern Tier,Delaware,26711,24774,11/10/22
Mid-Hudson,Dutchess,231428,208579,11/10/22
Western New York,Erie,718182,665689,11/10/22
North Country,Essex,27948,26019,11/10/22
North Country,Franklin,31338,29276,11/10/22
Mohawk Valley,Fulton,30283,28528,11/10/22
Finger Lakes,Genesee,37937,35746,11/10/22
Capital Region,Greene,32430,29521,11/10/22
North Country,Hamilton,3547,3297,11/10/22
Mohawk Valley,Herkimer,37051,34785,11/10/22
North Country,Jefferson,75910,63641,11/10/22
New York City,Kings,2096698,1884077,11/10/22
North Country,Lewis,14516,13830,11/10/22
Finger Lakes,Livingston,40545,38370,11/10/22
Central New York,Madison,54638,51129,11/10/22
Finger Lakes,Monroe,587459,545449,11/10/22
Mohawk Valley,Montgomery,35496,33489,11/10/22
Long Island,Nassau,1253032,1141643,11/10/22
New York City,New York,1629633,1396095,11/10/22
Western New York,Niagara,151113,141988,11/10/22
Mohawk Valley,Oneida,156546,145463,11/10/22
Central New York,Onondaga,369646,339439,11/10/22
Finger Lakes,Ontario,85598,80184,11/10/22
Mid-Hudson,Orange,265038,241252,11/10/22
Finger Lakes,Orleans,24474,23015,11/10/22
Central New York,Oswego,79672,74966,11/10/22
Mohawk Valley,Otsego,40615,37915,11/10/22
Mid-Hudson,Putnam,83269,74772,11/10/22
New York City,Queens,2207554,1983417,11/10/22
Capital Region,Rensselaer,119549,110658,11/10/22
New York City,Richmond,392304,359704,11/10/22
Mid-Hudson,Rockland,233515,210108,11/10/22
Capital Region,Saratoga,188553,175855,11/10/22
Capital Region,Schenectady,136523,126148,11/10/22
Mohawk Valley,Schoharie,19457,18449,11/10/22
Southern Tier,Schuyler,11281,10440,11/10/22
Finger Lakes,Seneca,19687,18431,11/10/22
North Country,St. Lawrence,74394,69373,11/10/22
Southern Tier,Steuben,56280,52865,11/10/22
Long Island,Suffolk,1240565,1128731,11/10/22
