Report Date,County,Place of Fatality,Deaths by County of Residence
11/4/22,Ontario,259,201
11/4/22,Orange,1109,1006
11/4/22,Orleans,59,124
11/4/22,Oswego,125,215
11/4/22,Otsego,157,99
11/4/22,Putnam,116,136
11/4/22,Queens,6993,8629
11/4/22,Rensselaer,245,295
11/4/22,Richmond,1466,1496
11/4/22,Rockland,906,940
11/4/22,Saratoga,274,381
11/4/22,Schenectady,321,341
11/4/22,Schoharie,16,40
11/4/22,Schuyler,8,30
11/4/22,Seneca,38,94
11/4/22,St. Lawrence,191,211
11/4/22,Statewide Total,58924,58924
11/4/22,Steuben,211,263
11/4/22,Suffolk,4673,4672
11/4/22,Sullivan,103,143
11/4/22,Tioga,42,89
11/4/22,Tompkins,105,97
11/4/22,Ulster,215,393
11/4/22,Warren,241,141
11/4/22,Washington,42,128
11/4/22,Wayne,113,200
11/4/22,Westchester,3145,2860
11/4/22,Wyoming,72,90
11/4/22,Yates,26,41
11/3/22,Albany,1023,572
11/3/22,Allegany,95,163
11/3/22,Bronx,4928,5520
11/3/22,Broome,669,567
11/3/22,Cattaraugus,247,241
11/3/22,Cayuga,128,168
11/3/22,Chautauqua,313,324
11/3/22,Chemung,320,250
11/3/22,Chenango,76,130
11/3/22,Clinton,154,112
11/3/22,Columbia,172,160
11/3/22,Cortland,109,129
11/3/22,Delaware,28,86
11/3/22,Dutchess,755,707
11/3/22,Erie,3138,2798
11/3/22,Essex,40,70
11/3/22,Franklin,33,51
11/3/22,Fulton,107,181
11/3/22,Genesee,173,203
11/3/22,Greene,36,140
11/3/22,Hamilton,0,5
11/3/22,Herkimer,72,208
11/3/22,Jefferson,127,147
11/3/22,Kings,8385,9260
11/3/22,Lewis,21,53
11/3/22,Livingston,88,129
11/3/22,Madison,127,140
11/3/22,Manhattan,6337,3855
11/3/22,Monroe,2060,1747
11/3/22,Montgomery,199,223
11/3/22,Nassau,4997,4083
11/3/22,Niagara,401,617
11/3/22,Non-NYS,0,525
11/3/22,Oneida,877,847
11/3/22,Onondaga,1405,1145
11/3/22,Ontario,257,201
11/3/22,Orange,1109,1006
11/3/22,Orleans,59,124
11/3/22,Oswego,125,215
11/3/22,Otsego,157,99
11/3/22,Putnam,116,136
11/3/22,Queens,6992,8626
11/3/22,Rensselaer,245,295
11/3/22,Richmond,1465,1495
11/3/22,Rockland,906,940
11/3/22,Saratoga,274,381
11/3/22,Schenectady,321,341
11/3/22,Schoharie,16,40
11/3/22,Schuyler,8,30
11/3/22,Seneca,38,94
11/3/22,St. Lawrence,191,210
11/3/22,Statewide Total,58903,58903
11/3/22,Steuben,211,263
11/3/22,Suffolk,4670,4671
11/3/22,Sullivan,103,143
11/3/22,Tioga,42,89
11/3/22,Tompkins,105,97
11/3/22,Ulster,215,393
11/3/22,Warren,241,141
11/3/22,Washington,42,128
11/3/22,Wayne,113,200
11/3/22,Westchester,3144,2859
11/3/22,Wyoming,72,90
11/3/22,Yates,26,40
11/2/22,Albany,1020,570
11/2/22,Allegany,95,163
11/2/22,Bronx,4926,5518
11/2/22,Broome,666,565
11/2/22,Cattaraugus,246,240
11/2/22,Cayuga,128,168
11/2/22,Chautauqua,313,324
11/2/22,Chemung,320,250
11/2/22,Chenango,76,129
11/2/22,Clinton,152,110
11/2/22,Columbia,171,159
